Fecha y Hora de la Venta,ID de la Transacción,Nombre del Producto,Cantidad,Precio de Venta por Unidad (MXN),Precio Total de la Venta (MXN)
2024-01-04 14:12:00,180,Nuegado,8,25.5,204.0
2024-01-04 14:18:00,181,Turrón,7,34.0,238.0
2024-01-04 14:19:00,182,Taco,8,34.0,272.0
2024-01-04 14:19:00,183,Taco,2,34.0,68.0
2024-01-04 14:25:00,184,Pozol,6,34.0,204.0
2024-01-04 14:26:00,185,Taco,5,34.0,170.0
2024-01-04 14:36:00,186,Taco,3,34.0,102.0
2024-01-04 14:37:00,187,Gordita,7,42.5,297.5
2024-01-04 14:55:00,188,Coca-Cola,7,25.5,178.5
2024-01-04 15:10:00,189,Turrón,10,34.0,340.0
2024-01-04 15:13:00,190,Taco,5,34.0,170.0
2024-01-04 15:13:00,191,Turrón,2,34.0,68.0
2024-01-04 15:15:00,192,Taco,3,34.0,102.0
2024-01-04 15:18:00,193,Gordita,7,42.5,297.5
2024-01-04 15:21:00,194,Empanada,4,51.0,204.0
2024-01-04 15:27:00,195,Empanada,10,51.0,510.0
2024-01-04 15:36:00,196,Taco,9,34.0,306.0
2024-01-04 15:42:00,197,Empanada,5,51.0,255.0
2024-01-04 15:52:00,198,Empanada,3,51.0,153.0
2024-01-04 15:57:00,199,Taco,5,34.0,170.0
2024-01-04 16:20:00,200,Gordita,6,42.5,255.0
2024-01-04 16:22:00,201,Empanada,4,51.0,204.0
2024-01-04 16:23:00,202,Turrón,3,34.0,102.0
2024-01-04 16:25:00,203,Turrón,6,34.0,204.0
2024-01-04 16:33:00,204,Pozol,2,34.0,68.0
2024-01-04 16:33:00,205,Empanada,3,51.0,153.0
2024-01-04 16:40:00,206,Taco,5,34.0,170.0
2024-01-04 16:44:00,207,Nuegado,9,25.5,229.5
2024-01-04 16:46:00,208,Gordita,10,42.5,425.0
2024-01-04 16:59:00,209,Pozol,7,34.0,238.0
2024-01-05 07:24:00,210,Coca-Cola,4,25.5,102.0
2024-01-05 07:28:00,211,Empanada,4,51.0,204.0
2024-01-05 07:29:00,212,Turrón,7,34.0,238.0
2024-01-05 07:42:00,213,Pozol,7,34.0,238.0
2024-01-05 08:15:00,214,Nuegado,5,25.5,127.5
2024-01-05 08:18:00,215,Gordita,3,42.5,127.5
2024-01-05 09:13:00,216,Gordita,7,42.5,297.5
2024-01-05 09:35:00,217,Empanada,7,51.0,357.0
2024-01-05 09:35:00,218,Nuegado,9,25.5,229.5
2024-01-05 09:43:00,219,Empanada,5,51.0,255.0
2024-01-05 09:48:00,220,Empanada,3,51.0,153.0
2024-01-05 10:06:00,221,Pozol,10,34.0,340.0
2024-01-05 10:07:00,222,Turrón,8,34.0,272.0
2024-01-05 11:14:00,223,Taco,8,34.0,272.0
2024-01-05 11:37:00,224,Nuegado,4,25.5,102.0
2024-01-05 12:27:00,225,Pozol,3,34.0,102.0
2024-01-05 12:51:00,226,Turrón,4,34.0,136.0
2024-01-05 14:10:00,227,Pozol,1,34.0,34.0
2024-01-05 14:14:00,228,Empanada,1,51.0,51.0
2024-01-05 14:28:00,229,Coca-Cola,3,25.5,76.5
2024-01-05 14:32:00,230,Turrón,2,34.0,68.0
2024-01-05 14:43:00,231,Gordita,2,42.5,85.0
2024-01-05 15:19:00,232,Turrón,10,34.0,340.0
2024-01-05 15:26:00,233,Gordita,5,42.5,212.5
2024-01-05 16:27:00,234,Coca-Cola,5,25.5,127.5
2024-01-06 07:44:00,235,Pozol,8,34.0,272.0
2024-01-06 07:45:00,236,Gordita,10,42.5,425.0
2024-01-06 08:06:00,237,Pozol,1,34.0,34.0
2024-01-06 08:17:00,238,Pozol,2,34.0,68.0
2024-01-06 08:23:00,239,Nuegado,9,25.5,229.5
2024-01-06 10:25:00,240,Taco,2,34.0,68.0
2024-01-06 11:00:00,241,Pozol,3,34.0,102.0
2024-01-06 12:02:00,242,Turrón,3,34.0,102.0
2024-01-06 12:16:00,243,Gordita,5,42.5,212.5
2024-01-06 13:04:00,244,Empanada,3,51.0,153.0
2024-01-06 13:40:00,245,Pozol,10,34.0,340.0
2024-01-06 15:06:00,246,Nuegado,10,25.5,255.0
2024-01-06 15:19:00,247,Pozol,1,34.0,34.0
2024-01-07 07:27:00,248,Nuegado,2,25.5,51.0
2024-01-07 07:50:00,249,Pozol,8,34.0,272.0
2024-01-07 08:25:00,250,Coca-Cola,5,25.5,127.5
2024-01-07 08:25:00,251,Nuegado,2,25.5,51.0
2024-01-07 08:50:00,252,Coca-Cola,5,25.5,127.5
2024-01-07 08:56:00,253,Taco,5,34.0,170.0
2024-01-07 09:03:00,254,Pozol,2,34.0,68.0
2024-01-07 09:11:00,255,Pozol,1,34.0,34.0
2024-01-07 09:13:00,256,Gordita,9,42.5,382.5
2024-01-07 09:22:00,257,Empanada,1,51.0,51.0
2024-01-07 09:38:00,258,Coca-Cola,10,25.5,255.0
2024-01-07 09:57:00,259,Nuegado,6,25.5,153.0
2024-01-07 10:40:00,260,Taco,9,34.0,306.0
2024-01-07 10:42:00,261,Gordita,6,42.5,255.0
2024-01-07 11:11:00,262,Pozol,6,34.0,204.0
2024-01-07 11:40:00,263,Taco,10,34.0,340.0
2024-01-07 12:06:00,264,Coca-Cola,4,25.5,102.0
2024-01-07 12:06:00,265,Gordita,6,42.5,255.0
2024-01-07 12:14:00,266,Coca-Cola,8,25.5,204.0
2024-01-07 12:29:00,267,Coca-Cola,2,25.5,51.0
2024-01-07 12:40:00,268,Pozol,9,34.0,306.0
2024-01-07 12:41:00,269,Pozol,7,34.0,238.0
2024-01-07 13:05:00,270,Empanada,5,51.0,255.0
2024-01-07 13:14:00,271,Turrón,3,34.0,102.0
2024-01-07 13:38:00,272,Turrón,1,34.0,34.0
2024-01-07 13:46:00,273,Turrón,1,34.0,34.0
2024-01-07 13:56:00,274,Coca-Cola,2,25.5,51.0
2024-01-07 13:59:00,275,Coca-Cola,2,25.5,51.0
2024-01-07 13:59:00,276,Coca-Cola,8,25.5,204.0
2024-01-07 15:06:00,277,Turrón,3,34.0,102.0
2024-01-07 15:07:00,278,Empanada,2,51.0,102.0
2024-01-07 15:09:00,279,Taco,7,34.0,238.0
2024-01-07 15:12:00,280,Empanada,1,51.0,51.0
2024-01-07 15:32:00,281,Turrón,7,34.0,238.0
2024-01-07 15:46:00,282,Gordita,5,42.5,212.5
2024-01-07 16:12:00,283,Pozol,9,34.0,306.0
2024-01-07 16:29:00,284,Coca-Cola,9,25.5,229.5
2024-01-07 16:39:00,285,Turrón,9,34.0,306.0
2024-01-07 16:47:00,286,Nuegado,7,25.5,178.5
2024-01-07 16:48:00,287,Empanada,10,51.0,510.0
2024-01-08 07:11:00,288,Pozol,8,34.0,272.0
2024-01-08 07:16:00,289,Nuegado,4,25.5,102.0
2024-01-08 07:29:00,290,Empanada,4,51.0,204.0
2024-01-08 07:42:00,291,Taco,10,34.0,340.0
2024-01-08 07:44:00,292,Pozol,1,34.0,34.0
2024-01-08 08:06:00,293,Pozol,5,34.0,170.0
2024-01-08 08:19:00,294,Empanada,6,51.0,306.0
2024-01-08 08:38:00,295,Gordita,10,42.5,425.0
2024-01-08 08:39:00,296,Pozol,6,34.0,204.0
2024-01-08 09:11:00,297,Coca-Cola,3,25.5,76.5
2024-01-08 09:12:00,298,Gordita,9,42.5,382.5
2024-01-08 09:14:00,299,Nuegado,4,25.5,102.0
2024-01-08 09:15:00,300,Turrón,5,34.0,170.0
2024-01-08 09:19:00,301,Empanada,8,51.0,408.0
2024-01-08 09:35:00,302,Turrón,1,34.0,34.0
2024-01-08 09:45:00,303,Taco,5,34.0,170.0
2024-01-08 09:48:00,304,Coca-Cola,1,25.5,25.5
2024-01-08 09:49:00,305,Turrón,6,34.0,204.0
2024-01-08 10:01:00,306,Taco,9,34.0,306.0
2024-01-08 10:02:00,307,Pozol,9,34.0,306.0
2024-01-08 10:10:00,308,Taco,3,34.0,102.0
2024-01-08 10:16:00,309,Empanada,5,51.0,255.0
2024-01-08 10:26:00,310,Gordita,10,42.5,425.0
2024-01-08 10:37:00,311,Empanada,8,51.0,408.0
2024-01-08 10:43:00,312,Turrón,1,34.0,34.0
2024-01-08 10:58:00,313,Coca-Cola,9,25.5,229.5
2024-01-08 10:59:00,314,Empanada,7,51.0,357.0
2024-01-08 11:21:00,315,Coca-Cola,4,25.5,102.0
2024-01-08 11:33:00,316,Turrón,7,34.0,238.0
2024-01-08 11:35:00,317,Coca-Cola,8,25.5,204.0
2024-01-08 11:53:00,318,Nuegado,6,25.5,153.0
2024-01-08 11:56:00,319,Pozol,7,34.0,238.0
2024-01-08 11:59:00,320,Gordita,5,42.5,212.5
2024-01-08 12:06:00,321,Gordita,4,42.5,170.0
2024-01-08 12:09:00,322,Turrón,3,34.0,102.0
2024-01-08 12:23:00,323,Pozol,5,34.0,170.0
2024-01-08 12:42:00,324,Pozol,10,34.0,340.0
2024-01-08 13:07:00,325,Pozol,7,34.0,238.0
2024-01-08 13:08:00,326,Pozol,9,34.0,306.0
2024-01-08 13:15:00,327,Gordita,6,42.5,255.0
2024-01-08 13:28:00,328,Nuegado,10,25.5,255.0
2024-01-08 13:44:00,329,Nuegado,6,25.5,153.0
2024-01-08 13:54:00,330,Turrón,7,34.0,238.0
2024-01-08 14:01:00,331,Coca-Cola,7,25.5,178.5
2024-01-08 14:03:00,332,Gordita,4,42.5,170.0
2024-01-08 14:07:00,333,Nuegado,3,25.5,76.5
2024-01-08 14:08:00,334,Empanada,7,51.0,357.0
2024-01-08 14:25:00,335,Empanada,10,51.0,510.0
2024-01-08 14:41:00,336,Taco,2,34.0,68.0
2024-01-08 14:45:00,337,Coca-Cola,5,25.5,127.5
2024-01-08 14:51:00,338,Nuegado,5,25.5,127.5
2024-01-08 14:54:00,339,Coca-Cola,6,25.5,153.0
2024-01-08 14:59:00,340,Empanada,1,51.0,51.0
2024-01-08 15:00:00,341,Taco,2,34.0,68.0
2024-01-08 15:08:00,342,Taco,5,34.0,170.0
2024-01-08 15:23:00,343,Taco,7,34.0,238.0
2024-01-08 15:24:00,344,Gordita,8,42.5,340.0
2024-01-08 15:33:00,345,Taco,7,34.0,238.0
2024-01-08 15:39:00,346,Nuegado,8,25.5,204.0
2024-01-08 15:52:00,347,Coca-Cola,4,25.5,102.0
2024-01-08 16:14:00,348,Taco,5,34.0,170.0
2024-01-08 16:21:00,349,Taco,1,34.0,34.0
2024-01-08 16:25:00,350,Pozol,10,34.0,340.0
2024-01-08 16:39:00,351,Nuegado,5,25.5,127.5
2024-01-08 16:49:00,352,Taco,7,34.0,238.0
2024-01-08 16:58:00,353,Nuegado,8,25.5,204.0
2024-01-08 17:00:00,354,Coca-Cola,2,25.5,51.0
2024-01-09 07:46:00,355,Taco,9,34.0,306.0
2024-01-09 07:48:00,356,Nuegado,3,25.5,76.5
2024-01-09 08:11:00,357,Gordita,8,42.5,340.0
2024-01-09 08:15:00,358,Gordita,6,42.5,255.0
2024-01-09 08:17:00,359,Turrón,3,34.0,102.0
2024-01-09 08:29:00,360,Turrón,1,34.0,34.0
2024-01-09 08:36:00,361,Nuegado,6,25.5,153.0
2024-01-09 09:07:00,362,Gordita,6,42.5,255.0
2024-01-09 09:14:00,363,Gordita,9,42.5,382.5
2024-01-09 09:22:00,364,Turrón,1,34.0,34.0
2024-01-09 09:35:00,365,Coca-Cola,2,25.5,51.0
2024-01-09 09:39:00,366,Gordita,2,42.5,85.0
2024-01-09 09:48:00,367,Turrón,3,34.0,102.0
2024-01-09 09:52:00,368,Turrón,3,34.0,102.0
2024-01-09 10:07:00,369,Pozol,3,34.0,102.0
2024-01-09 10:11:00,370,Empanada,5,51.0,255.0
2024-01-09 10:20:00,371,Turrón,2,34.0,68.0
2024-01-09 10:38:00,372,Gordita,7,42.5,297.5
2024-01-09 10:51:00,373,Pozol,4,34.0,136.0
2024-01-09 11:04:00,374,Turrón,5,34.0,170.0
2024-01-09 11:11:00,375,Taco,3,34.0,102.0
2024-01-09 11:18:00,376,Gordita,4,42.5,170.0
2024-01-09 11:30:00,377,Pozol,10,34.0,340.0
2024-01-09 11:46:00,378,Empanada,4,51.0,204.0
2024-01-09 11:50:00,379,Empanada,6,51.0,306.0
2024-01-09 12:02:00,380,Turrón,7,34.0,238.0
2024-01-09 12:15:00,381,Gordita,3,42.5,127.5
2024-01-09 12:17:00,382,Coca-Cola,9,25.5,229.5
2024-01-09 12:25:00,383,Pozol,1,34.0,34.0
2024-01-09 12:33:00,384,Turrón,7,34.0,238.0
2024-01-09 12:44:00,385,Empanada,9,51.0,459.0
2024-01-09 13:00:00,386,Pozol,5,34.0,170.0
2024-01-09 13:43:00,387,Coca-Cola,1,25.5,25.5
2024-01-09 13:51:00,388,Pozol,5,34.0,170.0
2024-01-09 13:53:00,389,Nuegado,1,25.5,25.5
2024-01-09 13:58:00,390,Coca-Cola,4,25.5,102.0
2024-01-09 14:03:00,391,Turrón,6,34.0,204.0
2024-01-09 14:13:00,392,Gordita,6,42.5,255.0
2024-01-09 14:35:00,393,Turrón,9,34.0,306.0
2024-01-09 14:37:00,394,Taco,8,34.0,272.0
2024-01-09 14:46:00,395,Nuegado,2,25.5,51.0
2024-01-09 15:00:00,396,Taco,7,34.0,238.0
2024-01-09 15:28:00,397,Nuegado,10,25.5,255.0
2024-01-09 15:35:00,398,Pozol,4,34.0,136.0
2024-01-09 15:45:00,399,Turrón,7,34.0,238.0
2024-01-09 15:50:00,400,Pozol,1,34.0,34.0
2024-01-09 16:15:00,401,Taco,10,34.0,340.0
2024-01-09 16:18:00,402,Coca-Cola,7,25.5,178.5
2024-01-09 16:24:00,403,Pozol,9,34.0,306.0
2024-01-09 16:25:00,404,Empanada,1,51.0,51.0
2024-01-09 16:29:00,405,Coca-Cola,3,25.5,76.5
2024-01-09 16:57:00,406,Nuegado,5,25.5,127.5
2024-01-10 07:13:00,407,Turrón,8,34.0,272.0
2024-01-10 07:55:00,408,Empanada,9,51.0,459.0
2024-01-10 08:23:00,409,Nuegado,4,25.5,102.0
2024-01-10 08:38:00,410,Pozol,6,34.0,204.0
2024-01-10 09:07:00,411,Turrón,4,34.0,136.0
2024-01-10 09:25:00,412,Nuegado,8,25.5,204.0
2024-01-10 10:27:00,413,Turrón,8,34.0,272.0
2024-01-10 10:36:00,414,Gordita,8,42.5,340.0
2024-01-10 11:13:00,415,Turrón,9,34.0,306.0
2024-01-10 12:05:00,416,Gordita,9,42.5,382.5
2024-01-10 12:52:00,417,Nuegado,10,25.5,255.0
2024-01-10 12:54:00,418,Turrón,1,34.0,34.0
2024-01-10 13:09:00,419,Empanada,5,51.0,255.0
2024-01-10 13:14:00,420,Turrón,5,34.0,170.0
2024-01-10 13:14:00,421,Pozol,2,34.0,68.0
2024-01-10 13:23:00,422,Empanada,9,51.0,459.0
2024-01-10 13:31:00,423,Nuegado,2,25.5,51.0
2024-01-10 13:32:00,424,Coca-Cola,7,25.5,178.5
2024-01-10 13:33:00,425,Taco,9,34.0,306.0
2024-01-10 13:45:00,426,Coca-Cola,2,25.5,51.0
2024-01-10 14:15:00,427,Empanada,10,51.0,510.0
2024-01-10 14:23:00,428,Taco,2,34.0,68.0
2024-01-10 14:38:00,429,Gordita,9,42.5,382.5
2024-01-10 14:55:00,430,Turrón,3,34.0,102.0
2024-01-10 14:58:00,431,Coca-Cola,8,25.5,204.0
2024-01-10 15:02:00,432,Pozol,3,34.0,102.0
2024-01-10 15:14:00,433,Turrón,2,34.0,68.0
2024-01-10 15:47:00,434,Nuegado,5,25.5,127.5
2024-01-10 16:03:00,435,Nuegado,8,25.5,204.0
2024-01-10 16:14:00,436,Empanada,10,51.0,510.0
2024-01-10 16:53:00,437,Gordita,8,42.5,340.0
2024-01-11 07:17:00,438,Coca-Cola,5,25.5,127.5
2024-01-11 07:38:00,439,Taco,7,34.0,238.0
2024-01-11 07:54:00,440,Coca-Cola,9,25.5,229.5
2024-01-11 07:55:00,441,Empanada,6,51.0,306.0
2024-01-11 08:21:00,442,Turrón,1,34.0,34.0
2024-01-11 08:21:00,443,Empanada,3,51.0,153.0
2024-01-11 08:25:00,444,Nuegado,8,25.5,204.0
2024-01-11 08:27:00,445,Taco,10,34.0,340.0
2024-01-11 08:48:00,446,Coca-Cola,8,25.5,204.0
2024-01-11 09:22:00,447,Turrón,6,34.0,204.0
2024-01-11 10:02:00,448,Nuegado,8,25.5,204.0
2024-01-11 10:33:00,449,Nuegado,7,25.5,178.5
2024-01-11 10:40:00,450,Coca-Cola,9,25.5,229.5
2024-01-11 10:42:00,451,Taco,6,34.0,204.0
2024-01-11 10:51:00,452,Coca-Cola,1,25.5,25.5
2024-01-11 11:07:00,453,Pozol,10,34.0,340.0
2024-01-11 11:10:00,454,Empanada,3,51.0,153.0
2024-01-11 11:11:00,455,Turrón,5,34.0,170.0
